Sektor Ekonomi,Bulan,Nilai Kredit,Jenis Kredit
Penyediaan Akomodasi dan Makan Minum,April,713539.0,Valuta Asing
Informasi dan Komunikasi,April,872797.0,Valuta Asing
Jasa Keuangan dan Asuransi,April,29641.0,Valuta Asing
Real Estate,April,921853.0,Valuta Asing
Jasa Perusahaan,April,1035998.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",April,975.0,Valuta Asing
Jasa Pendidikan,April,1897.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,April,50352.0,Valuta Asing
Jasa Lainnya,April,373983.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),April,0.0,Valuta Asing
JUMLAH,April,47395753.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,Mei,465726.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",Mei,2267946.0,Valuta Asing
Pertambangan dan Penggalian,Mei,1047381.0,Valuta Asing
Industri Pengolahan,Mei,1214657.0,Valuta Asing
Pengadaan Listrik dan Gas,Mei,9681014.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Mei,42776.0,Valuta Asing
Konstruksi,Mei,353801.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Mei,947002.0,Valuta Asing
Transportasi dan Pergudangan,Mei,6465552.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,Mei,697097.0,Valuta Asing
Informasi dan Komunikasi,Mei,847684.0,Valuta Asing
Jasa Keuangan dan Asuransi,Mei,28441.0,Valuta Asing
Real Estate,Mei,905473.0,Valuta Asing
Jasa Perusahaan,Mei,1039423.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Mei,93.0,Valuta Asing
Jasa Pendidikan,Mei,1839.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,Mei,49314.0,Valuta Asing
Jasa Lainnya,Mei,367962.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Mei,0.0,Valuta Asing
JUMLAH,Mei,465726.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,Juni,4551732.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",Juni,2216743.0,Valuta Asing
Pertambangan dan Penggalian,Juni,10495474.0,Valuta Asing
Industri Pengolahan,Juni,11889186.0,Valuta Asing
Pengadaan Listrik dan Gas,Juni,9288381.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Juni,42631.0,Valuta Asing
Konstruksi,Juni,325099.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Juni,949692.0,Valuta Asing
Transportasi dan Pergudangan,Juni,6287711.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,Juni,678548.0,Valuta Asing
Informasi dan Komunikasi,Juni,855347.0,Valuta Asing
Jasa Keuangan dan Asuransi,Juni,27403.0,Valuta Asing
Real Estate,Juni,855338.0,Valuta Asing
Jasa Perusahaan,Juni,942784.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Juni,9.0,Valuta Asing
Jasa Pendidikan,Juni,1809.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,Juni,48458.0,Valuta Asing
Jasa Lainnya,Juni,365189.0,Valuta Asing
